time (s)	coil I (A)	last det (V)	int current (uC)
2229.620740	1.423341	0.197510	705.977173
2229.621659	0.649054	0.197510	1302.457764
2229.622556	0.097646	0.197510	1390.046631
2229.623443	0.096896	0.197510	1475.993164
2229.624375	0.097115	0.197510	1566.504761
2229.625281	0.097090	0.197510	1654.468140
2229.626179	0.096969	0.197510	1741.546265
2229.627068	0.097137	0.197510	1827.901489
2229.628016	0.097112	0.197510	1919.963501
2229.628922	0.096984	0.197510	2007.830688
2229.629812	0.097009	0.197510	2094.168945
2229.630756	0.097064	0.197510	2185.797607
2230.611169	1.430376	0.232569	646.529968
2230.612094	0.711299	0.232569	1304.481445
2230.612989	0.098108	0.232569	1392.288086
2230.613924	0.097017	0.232569	1482.998657
2230.614834	0.097101	0.232569	1571.360352
2230.615736	0.097057	0.232569	1658.905640
2230.616635	0.096973	0.232569	1746.084106
2230.617565	0.097137	0.232569	1836.421875
2230.618469	0.097108	0.232569	1924.207642
2230.619371	0.097104	0.232569	2011.795898
2230.620264	0.097057	0.232569	2098.467773
2230.621213	0.097141	0.232569	2190.654785
2231.634398	1.421111	0.190831	633.815430
2231.635322	0.743478	0.190831	1320.788818
2231.636215	0.098181	0.190831	1408.464600
2231.637150	0.097006	0.190831	1499.164795
2231.638052	0.097075	0.190831	1586.726562
2231.638965	0.096998	0.190831	1675.286011
2231.639862	0.097057	0.190831	1762.346069
2231.640791	0.097101	0.190831	1852.552734
2231.641692	0.097035	0.190831	1939.981201
2231.642601	0.097068	0.190831	2028.215942
2231.643489	0.097061	0.190831	2114.405762
2231.644432	0.097090	0.190831	2205.961426
2232.624610	1.427571	0.228826	643.834412
2232.625543	0.701060	0.228826	1297.922974
2232.626433	0.098027	0.228826	1385.167358
2232.627369	0.097079	0.228826	1476.033203
2232.628268	0.097039	0.228826	1563.270874
2232.629167	0.097006	0.228826	1650.478882
2232.630057	0.097006	0.228826	1736.813843
2232.631009	0.097130	0.228826	1829.281738
2232.631922	0.097075	0.228826	1917.911377
2232.632827	0.097039	0.228826	2005.731323
2232.633753	0.097141	0.228826	2095.684082
2232.634652	0.097104	0.228826	2182.980957
2233.647053	1.403661	0.180317	616.207153
2233.648016	0.696215	0.180317	1286.661865
2233.648930	0.097657	0.180317	1375.920776
2233.649852	0.096929	0.180317	1465.289062
2233.650737	0.097028	0.180317	1551.158447
2233.651680	0.097057	0.180317	1642.683105
2233.652586	0.097053	0.180317	1730.613281
2233.653504	0.097028	0.180317	1819.684570
2233.654394	0.097006	0.180317	1906.019531
2233.655354	0.096980	0.180317	1999.120361
2233.656255	0.097013	0.180317	2086.529053
2233.657147	0.097006	0.180317	2173.058105
2234.638802	1.398296	0.226337	615.250183
2234.639720	0.738259	0.226337	1292.972168
2234.640668	0.098317	0.226337	1386.176392
2234.641581	0.097006	0.226337	1474.742554
2234.642486	0.097042	0.226337	1562.565796
2234.643376	0.097050	0.226337	1648.939941
2234.644324	0.097061	0.226337	1740.953369
2234.645231	0.097020	0.226337	1828.950684
2234.646126	0.097006	0.226337	1915.770752
2234.647016	0.097050	0.226337	2002.144897
2234.647952	0.097108	0.226337	2093.038086
2234.648847	0.097006	0.226337	2179.858154
2235.657446	1.426926	0.185780	649.251465
2235.658373	0.710907	0.185780	1308.262207
2235.659265	0.098097	0.185780	1395.764648
2235.660195	0.097035	0.185780	1486.007080
2235.661100	0.097075	0.185780	1573.860107
2235.662006	0.097101	0.185780	1661.833496
2235.662894	0.097046	0.185780	1748.010254
2235.663832	0.097141	0.185780	1839.128662
2235.664741	0.097185	0.185780	1927.469849
2235.665647	0.097079	0.185780	2015.423340
2235.666537	0.097108	0.185780	2101.849609
2235.667485	0.097233	0.185780	2194.026123
2236.654559	1.428362	0.229966	649.904602
2236.655468	0.732784	0.229966	1316.005615
2236.656353	0.098258	0.229966	1402.963989
2236.657289	0.097068	0.229966	1493.819580
2236.658199	0.096991	0.229966	1582.081299
2236.659091	0.097017	0.229966	1668.620117
2236.660011	0.097115	0.229966	1757.966309
2236.660930	0.097104	0.229966	1847.205322
2236.661832	0.097017	0.229966	1934.714355
2236.662724	0.097035	0.229966	2021.269531
2236.663671	0.097053	0.229966	2113.178955
2236.664570	0.097072	0.229966	2200.446289
2237.665742	1.396564	0.198529	610.298340
2237.666699	0.714148	0.198529	1293.738037
2237.667600	0.097745	0.198529	1381.806641
2237.668505	0.096984	0.198529	1469.576782
2237.669396	0.097072	0.198529	1556.067505
2237.670335	0.097068	0.198529	1647.214233
2237.671241	0.097061	0.198529	1735.151123
2237.672148	0.097013	0.198529	1823.141846
2237.673032	0.097009	0.198529	1908.898071
2237.673981	0.097137	0.198529	2001.081543
2237.674880	0.097006	0.198529	2088.289551
2237.675767	0.097053	0.198529	2174.375732
2238.670312	1.445823	0.226357	663.632629
2238.671235	0.706721	0.226357	1315.936279
2238.672128	0.098009	0.226357	1403.458374
2238.673043	0.096984	0.226357	1492.198364
2238.673953	0.097086	0.226357	1580.546753
2238.674853	0.097050	0.226357	1667.891357
2238.675753	0.097119	0.226357	1755.298584
2238.676679	0.097031	0.226357	1845.149536
2238.677583	0.097079	0.226357	1932.908813
2238.678486	0.097017	0.226357	2020.514771
2238.679369	0.097024	0.226357	2106.187012
2238.680315	0.097163	0.226357	2198.103271
