crossing time (s)	slope (V/s)	crossing number
6325.104071	4.226277	5862
6326.102229	4.287617	5863
6327.120637	3.886668	5864
6328.119434	4.210294	5865
6329.137071	4.091194	5866
6330.136550	4.254348	5867
6331.151410	4.210946	5868
6332.151603	4.582653	5869
6333.166011	4.113295	5870
6334.166391	4.503100	5871
6335.181074	3.628724	5872
6336.180018	4.160502	5873
6337.202523	3.337025	5874
6338.195575	3.817166	5875
6339.226281	3.852328	5876
6340.210187	3.760611	5877
6341.249481	4.596543	5878
6342.223277	3.339757	5879
6343.268266	5.018883	5880
6344.236584	3.269654	5881
6345.284591	5.028738	5882
6346.250873	3.420203	5883
6347.298714	4.681110	5884
6348.266512	3.963090	5885
6349.311058	4.166078	5886
6350.283757	3.981567	5887
6351.324259	4.045095	5888
6352.301551	4.181400	5889
6353.338992	4.211892	5890
6354.320325	3.930737	5891
6355.355671	4.336555	5892
6356.337186	3.704893	5893
6357.372466	4.120098	5894
6358.353737	3.198519	5895
6359.389043	4.155767	5896
6360.368301	3.325745	5897
6361.405285	3.902511	5898
6362.382324	3.522025	5899
6363.420544	3.798823	5900
6364.395176	4.469155	5901
6365.435220	3.753598	5902
6366.410966	5.207685	5903
6367.450480	4.462882	5904
6368.427362	5.682589	5905
6369.465064	4.803759	5906
6370.444981	5.823214	5907
6371.482240	5.572210	5908
6372.461664	5.960941	5909
6373.498695	5.833396	5910
6374.480112	5.671526	5911
6375.515399	6.062190	5912
6376.497018	5.402797	5913
6377.532769	5.857033	5914
6378.514557	4.874464	5915
6379.548421	5.514144	5916
6380.531856	4.506740	5917
6381.561570	4.672429	5918
6382.548946	4.602833	5919
6383.572835	4.542644	5920
6384.562925	4.643649	5921
6385.582520	4.684651	5922
6386.579672	5.367496	5923
6387.595716	5.612919	5924
6388.596296	5.717634	5925
6389.610974	6.131291	5926
6390.612783	6.247937	5927
6391.628812	6.417108	5928
6392.629557	6.103162	5929
6393.645898	6.478714	5930
6394.646547	6.348404	5931
6395.664338	6.573876	5932
6396.663509	6.272012	5933
6397.680328	6.384604	5934
6398.679470	6.361415	5935
6399.696542	6.319833	5936
6400.695679	6.124878	5937
6401.711452	6.151775	5938
6402.710690	6.271577	5939
6403.727358	5.921626	5940
6404.725586	6.074110	5941
6405.741962	5.532932	5942
6406.738686	5.974364	5943
6407.758010	5.197273	5944
6408.752378	5.487343	5945
6409.777724	4.517977	5946
6410.766298	5.276926	5947
6411.798736	4.634879	5948
6412.780375	4.986533	5949
6413.819907	5.070536	5950
6414.793745	5.049588	5951
6415.837139	5.320457	5952
6416.808024	4.859900	5953
6417.853569	5.430028	5954
6418.823162	5.085821	5955
6419.867562	5.375890	5956
6420.838646	5.038732	5957
6421.882193	5.178807	5958
6422.854175	5.346463	5959
6423.894749	4.943486	5960
6424.870968	5.230091	5961
6425.910267	4.901441	5962
6426.887065	5.212746	5963
6427.924973	4.952752	5964
6428.904699	4.909412	5965
6429.940658	5.018636	5966
6430.919483	5.073691	5967
6431.955607	4.811983	5968
6432.934178	4.987394	5969
6433.971622	4.926407	5970
6434.948004	5.159764	5971
6435.987355	4.842266	5972
6436.963391	5.568969	5973
6438.002348	5.014736	5974
6438.977719	6.138686	5975
6440.016789	5.234942	5976
6440.994217	6.447292	5977
6442.032870	5.874742	5978
6443.010100	6.700615	5979
6444.049078	6.181552	5980
6445.027428	6.664331	5981
6446.064785	6.713402	5982
6447.044171	6.368887	5983
6448.081651	6.752037	5984
6449.062290	6.023960	5985
6450.098684	6.717432	5986
6451.079035	5.783722	5987
6452.114060	6.152312	5988
6453.097062	5.552872	5989
6454.127200	5.756935	5990
6455.111397	5.188470	5991
6456.139252	5.163392	5992
6457.127320	5.358388	5993
6458.151294	5.159018	5994
6459.142690	5.582112	5995
6460.163690	5.476649	5996
6461.159096	5.865374	5997
6462.177852	6.106593	5998
6463.175366	6.175724	5999
6464.192899	6.477712	6000
6465.191158	6.640026	6001
6466.209981	6.608674	6002
6467.207161	6.702385	6003
6468.225138	6.834736	6004
6469.223405	6.878944	6005
6470.240839	6.854317	6006
6471.238417	6.803061	6007
6472.256473	6.722492	6008
6473.253422	6.842861	6009
6474.272009	6.602086	6010
6475.269034	6.558254	6011
6476.287827	6.181983	6012
6477.283342	6.646744	6013
6478.304637	5.811754	6014
6479.297569	6.391328	6015
6480.323211	5.363134	6016
6481.311652	6.312238	6017
6482.342012	5.342338	6018
6483.325781	6.084063	6019
6484.361692	5.293154	6020
6485.339671	6.194417	6021
6486.379263	5.632638	6022
6487.353114	5.935406	6023
6488.395665	5.708918	6024
6489.368229	6.030233	6025
6490.411296	5.781746	6026
6491.383262	5.990117	6027
6492.426153	5.723658	6028
6493.398505	6.087544	6029
6494.440455	5.595917	6030
6495.414058	5.991430	6031
6496.453002	5.455631	6032
6497.430093	5.951102	6033
6498.467969	5.481030	6034
6499.445542	5.875305	6035
6500.483579	5.487371	6036
6501.461063	5.831343	6037
6502.497947	5.466965	6038
6503.475861	5.937587	6039
6504.512788	5.491599	6040
6505.490553	6.149347	6041
6506.528044	5.580146	6042
6507.503838	6.406012	6043
6508.543043	5.710585	6044
6509.519036	6.802498	6045
6510.558358	5.910363	6046
6511.535012	7.138420	6047
6512.574085	6.345674	6048
6513.550688	7.167420	6049
6514.589598	6.656783	6050
6515.568164	7.118662	6051
6516.605533	6.892013	6052
6517.584260	6.959644	6053
6518.622173	7.011303	6054
6519.600672	6.805147	6055
6520.637969	7.165023	6056
6521.617309	6.422651	6057
6522.653603	6.984068	6058
6523.633799	6.342510	6059
6524.667724	6.473109	6060
6525.649340	6.073186	6061
6526.681429	6.328064	6062
6527.666108	6.048358	6063
6528.693969	5.930194	6064
6529.681318	6.039481	6065
6530.706468	5.695990	6066
6531.697401	6.203319	6067
6532.719724	5.884764	6068
6533.713084	6.219021	6069
6534.733580	6.061981	6070
6535.728226	6.460721	6071
6536.748876	6.552324	6072
6537.741292	6.829720	6073
6538.763332	6.612684	6074
6539.759191	6.907970	6075
6540.778961	6.727717	6076
6541.774981	6.883307	6077
6542.795180	6.689864	6078
6543.790736	7.101944	6079
6544.810341	6.874996	6080
6545.805358	7.059390	6081
6546.826607	6.456943	6082
6547.819942	7.066420	6083
6548.842615	6.459830	6084
6549.835197	6.910159	6085
6550.860605	5.970274	6086
6551.849174	6.937820	6087
6552.878164	5.816249	6088
6553.863226	6.826956	6089
6554.896219	5.755237	6090
6555.877480	6.742948	6091
6556.913352	6.046803	6092
6557.892043	6.853920	6093
6558.930617	6.077873	6094
6559.906477	6.757758	6095
6560.946089	6.261392	6096
6561.921736	6.611626	6097
6562.962107	6.165697	6098
6563.936898	6.557183	6099
6564.976159	6.190440	6100
6565.951166	6.458301	6101
6566.991320	6.141836	6102
6567.967394	6.438719	6103
6569.005438	6.060062	6104
6569.981636	6.230917	6105
6571.020266	5.881874	6106
6571.996623	6.346590	6107
6573.035025	6.098432	6108
6574.011384	6.212492	6109
6575.049331	5.799707	6110
6576.026054	6.587281	6111
6577.064592	6.141451	6112
6578.040739	6.727486	6113
6579.079341	6.145620	6114
6580.056203	7.097814	6115
6581.094795	6.475748	6116
6582.070384	7.231747	6117
6583.110668	6.551589	6118
6584.086496	7.338199	6119
6585.125184	6.966208	6120
6586.102435	7.241898	6121
6587.141967	7.113108	6122
6588.118467	7.213450	6123
6589.157631	7.216732	6124
6590.134444	6.902506	6125
6591.173523	7.237591	6126
6592.151663	6.922209	6127
6593.188633	7.277845	6128
6594.168111	6.711326	6129
6595.203717	6.968649	6130
6596.183721	6.640744	6131
6597.216297	6.661374	6132
6598.200459	6.353273	6133
6599.230398	6.420490	6134
6600.216345	6.423528	6135
6601.242973	6.283069	6136
6602.231138	6.308707	6137
6603.256363	6.056787	6138
6604.247476	6.394701	6139
6605.270441	6.316502	6140
6606.262596	6.525304	6141
6607.284476	6.297256	6142
6608.277470	6.865275	6143
6609.298888	6.603953	6144
6610.292699	6.950627	6145
6611.314523	6.593765	6146
6612.307300	7.250225	6147
6613.329434	6.842593	6148
6614.322903	7.271980	6149
6615.344940	6.837699	6150
6616.338258	7.523321	6151
6617.360075	6.792294	6152
6618.353495	7.414268	6153
6619.377910	6.687229	6154
6620.367964	7.499122	6155
6621.395059	6.588410	6156
6622.383352	7.270080	6157
6623.411945	6.347218	6158
6624.397200	7.607339	6159
6625.428591	6.525596	6160
6626.411428	7.323121	6161
6627.445827	6.527267	6162
6628.425968	7.400194	6163
6629.462751	6.759283	6164
6630.441440	7.083658	6165
6631.478679	6.859406	6166
6632.456121	7.080735	6167
6633.493915	6.711760	6168
6634.470676	6.766906	6169
6635.509657	6.674906	6170
6636.485430	6.736564	6171
6637.523387	6.720728	6172
6638.500638	6.628972	6173
6639.538867	6.544894	6174
6640.515465	6.697349	6175
6641.553342	6.448204	6176
6642.530091	6.426939	6177
6643.568174	6.451807	6178
6644.545189	6.673344	6179
6645.582540	6.377657	6180
6646.558848	6.710904	6181
6647.598817	6.518908	6182
6648.573174	6.848196	6183
6649.612728	6.815858	6184
6650.588790	6.873825	6185
6651.628302	6.766693	6186
6652.603016	7.251094	6187
6653.643891	6.862813	6188
6654.618279	7.139339	6189
6655.659543	7.061604	6190
6656.635431	7.310669	6191
6657.674747	7.258354	6192
6658.650595	7.261677	6193
6659.690208	7.305700	6194
6660.667239	7.185304	6195
6661.705843	7.380552	6196
6662.683494	6.923999	6197
6663.720617	7.370514	6198
6664.699097	7.020533	6199
6665.733750	7.183376	6200
6666.715193	6.899155	6201
6667.748485	6.778691	6202
6668.732037	6.853027	6203
6669.762093	6.736817	6204
6670.747812	6.661036	6205
6671.775576	6.400666	6206
6672.762899	6.585550	6207
6673.788671	6.423454	6208
6674.778369	6.588569	6209
6675.803615	6.426914	6210
6676.794042	6.625799	6211
6677.817710	6.610517	6212
6678.808695	6.766825	6213
6679.832315	6.557698	6214
6680.823669	7.154788	6215
6681.846828	6.703569	6216
6682.839844	7.329956	6217
6683.861734	6.815043	6218
6684.854813	7.466683	6219
6685.876613	6.910061	6220
6686.869981	7.614031	6221
6687.893643	6.767361	6222
6688.885914	7.875292	6223
6689.909535	6.870886	6224
6690.899310	7.607373	6225
6691.926690	6.760381	6226
6692.914635	7.771864	6227
6693.943342	6.952637	6228
6694.929943	7.592046	6229
6695.960140	6.869464	6230
6696.943791	7.682651	6231
6697.977283	7.067105	6232
6698.958392	7.501909	6233
6699.993986	7.119452	6234
6700.973896	7.369978	6235
6702.009067	7.176466	6236
6702.988557	7.186084	6237
6704.025252	7.165268	6238
6705.003488	7.110109	6239
6706.040601	7.156810	6240
6707.017755	6.891550	6241
6708.055811	7.078484	6242
6709.032269	6.759685	6243
6710.069269	7.002226	6244
6711.046853	6.461538	6245
6712.084578	6.877652	6246
6713.061661	6.614984	6247
6714.099660	6.844740	6248
6715.075842	6.585478	6249
6716.114327	6.775189	6250
6717.090167	6.564092	6251
6718.129395	6.837229	6252
6719.104629	6.562672	6253
6720.145321	6.880572	6254
