time (s)	coil I (A)	last det (V)	int current (uC)
3719.985884	1.432504	0.251655	646.059143
3719.986800	1.918685	0.251655	2403.574707
3719.987702	1.880489	0.251655	4099.776367
3719.988645	1.823221	0.251655	5819.074219
3719.989556	1.765272	0.251655	7427.237305
3719.990470	1.710293	0.251655	8990.445312
3719.991376	1.656870	0.251655	10491.569336
3719.992324	1.605297	0.251655	12013.390625
3719.993246	1.555232	0.251655	13447.314453
3719.994142	1.508639	0.251655	14799.054687
3719.995078	1.437664	0.251655	16144.708008
3719.996002	0.278903	0.251655	16402.414062
3719.996907	0.097017	0.251655	16490.214844
3719.997795	0.097119	0.251655	16576.457031
3719.998744	0.097284	0.251655	16668.779297
3719.999649	0.097255	0.251655	16756.794922
3720.000551	0.097156	0.251655	16844.429687
3720.001438	0.097189	0.251655	16930.636719
3720.002380	0.097134	0.251655	17022.136719
3720.003283	0.097141	0.251655	17109.855469
3720.004171	0.097126	0.251655	17196.103516
3720.982239	1.424440	0.278874	633.875671
3720.983159	1.918356	0.278874	2398.762939
3720.984064	1.880383	0.278874	4100.509766
3720.985006	1.823372	0.278874	5818.125977
3720.985926	1.764558	0.278874	7441.519531
3720.986839	1.709513	0.278874	9002.304687
3720.987734	1.657174	0.278874	10485.475586
3720.988694	1.604696	0.278874	12025.983398
3720.989602	1.555239	0.278874	13438.140625
3720.990506	1.508643	0.278874	14801.953125
3720.991412	1.442490	0.278874	16108.849609
3720.992346	0.291914	0.278874	16381.497070
3720.993252	0.097097	0.278874	16469.466797
3720.994148	0.097218	0.278874	16556.574219
3720.995082	0.097273	0.278874	16647.427734
3720.995984	0.097306	0.278874	16735.197266
3720.996887	0.097266	0.278874	16823.027344
3720.997773	0.097211	0.278874	16909.156250
3720.998719	0.097310	0.278874	17001.210937
3720.999624	0.097288	0.278874	17089.255859
3721.000515	0.097233	0.278874	17175.890625
3722.003162	1.426531	0.258882	647.644958
3722.004056	1.918634	0.258882	2362.903809
3722.005003	1.879925	0.258882	4143.193359
3722.005915	1.823635	0.258882	5806.348633
3722.006819	1.766056	0.258882	7402.863281
3722.007712	1.711666	0.258882	8931.380859
3722.008649	1.657573	0.258882	10484.527344
3722.009571	1.606600	0.258882	11965.812500
3722.010475	1.557656	0.258882	13373.933594
