time (s)	det(V)
7679.858361	0.096375	
7679.859902	0.097338	
7679.861391	0.097523	
7679.862932	0.094413	
7679.864417	0.096859	
7679.865958	0.094857	
7679.867471	0.092762	
7679.869000	0.087086	
7679.870519	0.085660	
7679.872008	0.088633	
7679.873558	0.082139	
7679.875052	0.082618	
7679.876598	0.084713	
7679.878092	0.083323	
7679.879624	0.079609	
7679.881129	0.081905	
7679.882645	0.080620	
7679.884167	0.079211	
7679.885681	0.074046	
7679.887206	0.073784	
7679.888687	0.073575	
7679.890236	0.070147	
7679.891718	0.069156	
7679.893267	0.070240	
7679.894753	0.068048	
7679.896300	0.065196	
7679.897790	0.066525	
7679.899327	0.065679	
7679.900835	0.064765	
7679.902351	0.060330	
7679.903865	0.059879	
7679.905353	0.059367	
7679.906910	0.057240	
7679.908403	0.057196	
7679.909948	0.055705	
7679.911445	0.056946	
7679.912975	0.052410	
7679.914471	0.053554	
7679.915992	0.054400	
7679.917517	0.051347	
7679.919039	0.047773	
7679.920561	0.049876	
7679.922042	0.050017	
7679.923589	0.045155	
7679.925079	0.043459	
7679.926617	0.045191	
7679.928107	0.046444	
7679.929648	0.041880	
7679.931140	0.043886	
7679.932666	0.042549	
7679.934187	0.040563	
7679.935696	0.037614	
7679.937225	0.038037	
7679.938705	0.038871	
7679.940265	0.034561	
7679.941753	0.034001	
7679.943296	0.035262	
7679.944780	0.035004	
7679.946325	0.032325	
7679.947816	0.033332	
7679.949352	0.033779	
7679.950867	0.031064	
7679.952354	0.028925	
7679.953881	0.028599	
7679.955373	0.029038	
7679.956894	0.025239	
7679.958420	0.024337	
7679.959908	0.027753	
7679.961474	0.027012	
7679.962956	0.023084	
7679.964496	0.025239	
7679.966004	0.027181	
7679.967553	0.023825	
7679.969034	0.021376	
7679.970583	0.021025	
7679.972061	0.022210	
7679.973599	0.017706	
7679.975092	0.016752	
7679.976620	0.015958	
7679.978139	0.016969	
7679.979626	0.013476	
7679.981162	0.015652	
7679.982670	0.015817	
7679.984219	0.014254	
7679.985704	0.010544	
7679.987251	0.010935	
7679.988741	0.011200	
7679.990266	0.006963	
7679.991768	0.007599	
7679.993285	0.009549	
7679.994804	0.009291	
7679.996291	0.005637	
7679.997831	0.006979	
7679.999335	0.007978	
7680.000892	0.006415	
7680.002375	0.002846	
7680.003921	0.002576	
7680.005400	0.004014	
7680.006965	-0.001485	
7680.008452	-0.002536	
7680.009989	-0.000619	
7680.011485	0.001081	
7680.013020	-0.002903	
7680.014518	-0.001509	
7680.016029	-0.001533	
7680.017548	-0.003390	
7680.019037	-0.007237	
7680.020587	-0.006927	
7680.022081	-0.005956	
7680.023621	-0.010444	
7680.025112	-0.011145	
7680.026648	-0.009554	
7680.028152	-0.008796	
7680.029671	-0.013111	
7680.031177	-0.011048	
7680.032704	-0.012099	
7680.034233	-0.013642	
7680.035714	-0.016780	
7680.037264	-0.017469	
7680.038751	-0.016559	
7680.040302	-0.020599	
7680.041790	-0.022090	
7680.043332	-0.019874	
7680.044823	-0.020063	
7680.046366	-0.023556	
7680.047858	-0.021945	
7680.049396	-0.021868	
7680.050918	-0.024140	
7680.052443	-0.028104	
7680.053960	-0.028664	
7680.055452	-0.027685	
7680.056990	-0.031854	
7680.058476	-0.032724	
7680.060025	-0.030960	
7680.061512	-0.031004	
7680.063043	-0.034392	
7680.064534	-0.033917	
7680.066072	-0.032918	
7680.067588	-0.036261	
7680.069117	-0.038360	
7680.070624	-0.038996	
7680.072122	-0.039601	
7680.073656	-0.042698	
7680.075143	-0.043895	
7680.076694	-0.041458	
7680.078182	-0.041925	
7680.079744	-0.045438	
7680.081240	-0.042566	
7680.082762	-0.044608	
7680.084274	-0.045945	
7680.085787	-0.048644	
7680.087307	-0.049402	
7680.088810	-0.049627	
7680.090345	-0.053382	
7680.091828	-0.054058	
7680.093376	-0.052419	
7680.094865	-0.052060	
7680.096431	-0.057567	
7680.097922	-0.053212	
7680.099472	-0.054912	
7680.100983	-0.056608	
7680.102519	-0.058594	
7680.104038	-0.059992	
7680.105573	-0.059150	
7680.107105	-0.063835	
7680.108596	-0.063763	
7680.110159	-0.062179	
7680.111655	-0.063203	
7680.113217	-0.067122	
7680.114710	-0.064214	
7680.116279	-0.064584	
7680.117771	-0.068431	
7680.119318	-0.071066	
7680.120838	-0.069579	
7680.122376	-0.070695	
7680.123896	-0.075054	
7680.125378	-0.075811	
7680.126933	-0.073310	
7680.128424	-0.075276	
7680.129975	-0.079461	
7680.131465	-0.077636	
7680.133014	-0.077644	
7680.134511	-0.080198	
7680.136041	-0.084597	
7680.137572	-0.084013	
7680.139089	-0.085632	
7680.140615	-0.089137	
7680.142112	-0.090797	
7680.143683	-0.089483	
7680.145169	-0.090954	
7680.146733	-0.095361	
7680.148224	-0.092682	
7680.149777	-0.093681	
7680.151267	-0.097314	
7680.152810	-0.101222	
7680.154322	-0.100384	
7680.155859	-0.102906	
7680.157380	-0.107140	
7680.158913	-0.108239	
7680.160440	-0.107498	
7680.161939	-0.108932	
7680.163509	-0.113935	
7680.165000	-0.111079	
7680.166559	-0.113915	
7680.168057	-0.117239	
7680.169615	-0.121307	
7680.171104	-0.121158	
7680.172660	-0.124465	
7680.174182	-0.128985	
7680.175718	-0.130568	
7680.177236	-0.128868	
7680.178724	-0.131317	
7680.180280	-0.135406	
7680.181765	-0.133642	
7680.183337	-0.136699	
7680.184823	-0.140385	
7680.186381	-0.144140	
7680.187881	-0.144160	
7680.189414	-0.148845	
7680.190954	-0.153211	
7680.192473	-0.152639	
7680.194007	-0.153216	
7680.195528	-0.154581	
7680.197069	-0.160003	
7680.198551	-0.158634	
7680.200106	-0.160692	
7680.201595	-0.165313	
7680.203155	-0.168189	
7680.204644	-0.168761	
7680.206195	-0.172286	
7680.207692	-0.175943	
7680.209235	-0.176825	
7680.210763	-0.176278	
7680.212292	-0.179150	
7680.213817	-0.182566	
7680.215312	-0.182074	
7680.216860	-0.184093	
7680.218366	-0.188133	
7680.219943	-0.190304	
7680.221437	-0.190038	
7680.222976	-0.196113	
7680.224470	-0.197817	
7680.226018	-0.198453	
7680.227537	-0.198603	
7680.229072	-0.202111	
7680.230600	-0.204738	
7680.232091	-0.202832	
7680.233633	-0.204629	
7680.235122	-0.209930	
7680.236677	-0.212545	
7680.238164	-0.210973	
7680.239724	-0.217725	
7680.241225	-0.219002	
7680.242748	-0.219981	
7680.244277	-0.217733	
7680.245791	-0.221379	
7680.247320	-0.223840	
7680.248837	-0.223381	
7680.250383	-0.225822	
7680.251867	-0.229774	
7680.253427	-0.232904	
7680.254911	-0.232154	
7680.256467	-0.238137	
7680.257959	-0.239985	
7680.259505	-0.238990	
7680.261013	-0.238886	
7680.262549	-0.242350	
7680.264072	-0.245686	
7680.265571	-0.243313	
7680.267094	-0.246241	
7680.268607	-0.250008	
7680.270113	-0.253589	
7680.271674	-0.252365	
7680.273165	-0.257722	
7680.274716	-0.261618	
7680.276201	-0.262065	
7680.277748	-0.261460	
7680.279257	-0.265557	
7680.280815	-0.265847	
7680.282298	-0.266786	
7680.283851	-0.269727	
7680.285343	-0.273920	
7680.286881	-0.276244	
7680.288401	-0.276365	
7680.289930	-0.281739	
7680.291460	-0.284692	
7680.292942	-0.284712	
7680.294510	-0.285876	
7680.296024	-0.290670	
7680.297588	-0.290750	
7680.299071	-0.291234	
7680.300626	-0.293602	
7680.302111	-0.297760	
7680.303663	-0.300849	
7680.305155	-0.299613	
7680.306689	-0.306126	
7680.308188	-0.308229	
7680.309717	-0.307766	
7680.311261	-0.307814	
7680.312755	-0.312830	
7680.314317	-0.312092	
7680.315808	-0.313861	
7680.317367	-0.315512	
7680.318861	-0.319887	
7680.320423	-0.321801	
